#37-1	N
Guatemalan	C
and	N
Oksana	N
were	N
detained	C
in	N
December	N
at	N
Sheremetyevo	C
airport	N
for	N
questioning	C
,	N
which	N
went	N
on	N
for	N
seven	N
hours	N
.	N

#36-7	N
The	N
following	N
day	N
,	N
Indianapolis	C
Motor	N
Speedway	N
president	N
Doug	N
Boles	N
and	N
Hulman	C
&	N
Company	N
Mark	N
Miles	N
officially	C
announced	C
Wilson's	N
death	N
.	N

#36-8	N
Karam	N
was	N
able	N
to	N
walk	N
away	N
from	N
the	N
accident	C
,	N
and	N
was	N
evaluated	C
for	N
a	N
right	N
foot	N
injury;	N
he	N
was	N
released	C
from	N
the	N
hospital	N
the	N
same	N
day	N
.	N

#36-9	N
Wilson's	N
Andretti	C
Autosport	N
teammate	C
Ryan	N
Hunter-Reay	C
won	N
the	N
race	N
,	N
though	N
he	N
did	N
not	N
celebrate	C
upon	N
finding	N
out	N
about	N
Wilson's	N
accident	N
.	N

#36-10	N
In	N
Victory	N
Lane	N
,	N
he	N
stated	C
,	N
""""	N
My	N
first	N
thoughts	N
are	N
with	N
Justin	N
,	N
for	N
sure[...]	N
He's	N
a	N
friend	N
,	N
a	N
teammate	C
,	N
and	N
it's	N
a	N
bit	N
hard	C
not	N
knowing	N
anything	N
.	N
""""	N

#36-11	N
Wilson	N
,	N
a	N
former	N
Formula	N
One	N
and	N
Champ	N
Car	N
driver	N
,	N
did	N
not	N
have	N
a	N
ride	C
entering	C
the	N
2015	N
season	N
,	N
and	N
joined	N
Andretti	C
on	N
a	N
seven-race	N
deal	C
.	N

#36-12	N
The	N
contract	C
had	N
previously	C
been	N
for	N
two	N
races	N
,	N
but	N
after	N
acquiring	C
sponsorship	C
,	N
the	N
deal	N
was	N
increased	C
by	N
five	N
events;	N
earlier	N
in	N
August	N
,	N
Wilson	N
recorded	C
a	N
best	N
finish	N
of	N
second	N
at	N
Mid-Ohio	N
Sports	N
Car	N
Course	N
.	N

#42-69	N
I	N
don't	N
own	N
a	N
car	N
,	N
so	N
that	N
means	N
I'm	N
excused	C
right?	N

#42-70	N
;)	N
Wikinews:	N
This	N
is	N
the	N
first	N
evidence	C
for	N
self-medicating	C
insects	N
.	N

#42-71	N
How	N
widespread	C
do	N
you	N
think	N
this	N
phenomenon	C
could	N
be	N
in	N
reality?	N

#42-72	N
NB:	N
It's	N
not	N
actually	N
the	N
first	N
evidence	C
for	N
self-medication	C
in	N
insects	N
.	N

#42-73	N
Moths	C
and	N
fruit	N
flies	N
definitely	C
do	N
it	N
,	N
and	N
there's	N
evidence	C
in	N
honey	N
bees	N
and	N
bumble-bees	C
as	N
well	N
.	N

#42-74	N
So	N
it	N
seems	N
to	N
be	N
quite	N
wide-spread	C
in	N
the	N
insect	N
world	N
.	N

#42-75	N
I	N
have	N
no	N
doubt	C
that	N
as	N
time	N
goes	N
on	N
,	N
there	N
will	N
be	N
more	N
and	N
more	N
cases	N
documented	C
.	N

#42-77	N
Wikinews:	N
How	N
might	N
ants	N
locate	N
healing	C
substances	C
in	N
the	N
wild?	N

#16-2	N
The	N
Obamas	N
and	N
Bidens	C
,	N
pictured	C
together	N
from	N
file	N
,	N
have	N
enjoyed	C
an	N
unusually	C
close	N
and	N
warm	N
relationship	N
.	N

#16-3	N
In	N
a	N
ceremony	C
described	C
by	N
the	N
press	N
as	N
highly	N
emotional	C
,	N
Obama	N
cited	C
his	N
choice	N
of	N
Biden	N
as	N
a	N
running	N
mate	N
as	N
one	N
of	N
the	N
best	N
of	N
his	N
career	C
and	N
described	C
their	N
few	N
arguments	C
as	N
the	N
sort	N
that	N
brothers	N
would	N
have	N
and	N
Biden	N
himself	N
as	N
""""	N
a	N
lion	N
of	N
American	N
history	N
.	N
""""	N

#16-4	N
This	N
made	N
only	N
the	N
fourth	N
time	N
in	N
U.S	N
.	N
history	N
that	N
this	N
modified	C
form	N
,	N
the	N
Medal	N
of	N
Freedom	N
with	N
distinction	C
,	N
has	N
been	N
awarded	C
.	N

#16-6	N
Early	N
during	N
the	N
ceremony	C
,	N
Obama	N
noted	N
comically	C
""""	N
this	N
also	N
gives	N
the	N
Internet	N
one	N
last	N
chance	N
to	N
talk	N
about	N
our	N
'bromance.'	N
""""	N

#29-5	N
Martin	N
,	N
best	N
known	N
for	N
spreading	C
multiple	C
conspiracy	C
theories	C
concerning	C
the	N
birth	N
and	N
religion	N
of	N
U.S	N
.	N
President	C
Barack	N
Obama	N
,	N
previously	C
ran	N
for	N
the	N
Democratic	C
Party	N
presidential	C
nomination	C
in	N
1988	N
,	N
and	N
unsuccessfully	C
sought	C
the	N
backing	N
of	N
the	N
Republican	C
Party	N
in	N
2000	N
and	N
2012	N
.	N

#29-6	N
In	N
2012	N
,	N
he	N
received	N
a	N
total	N
of	N
19	N
votes	N
in	N
the	N
New	N
Hampshire	N
Primary	N
,	N
the	N
only	N
primary	C
ballot	C
on	N
which	N
he	N
appeared	C
.	N

#29-7	N
For	N
2016	N
,	N
Martin	N
does	N
not	N
harbor	C
high	N
expectations	C
of	N
electoral	C
success	N
,	N
though	N
he	N
hopes	N
to	N
receive	N
an	N
invitation	N
to	N
the	N
debates	C
.	N

#29-8	N
In	N
reference	C
to	N
the	N
seventeen	N
candidates	N
invited	N
to	N
the	N
two	N
August	N
6	N
Fox	N
News	N
debates	C
,	N
Martin	N
casts	C
himself	N
as	N
the	N
""""	N
eighteenth	C
candidate,	N
""""	N
willing	C
to	N
participate	C
in	N
the	N
second-tier	C
debate	C
.	N

#29-9	N
Moreover	N
,	N
he	N
declares	N
himself	N
as	N
the	N
""""	N
second-most	C
exciting	C
""""	N
candidate	N
,	N
reserving	C
first	N
place	N
for	N
Trump	N
,	N
whom	N
Martin	N
praises	C
throughout	C
his	N
announcement	C
.	N

#19-5	N
According	N
to	N
Agus	C
Supriatna	C
,	N
chief	C
of	N
the	N
Air	N
Force	N
,	N
the	N
pilot	C
reported	C
technical	C
problems	N
and	N
requested	C
return	N
to	N
base	C
.	N

#19-6	N
The	N
aircraft	N
was	N
en	C
route	C
from	N
Soewondo	C
Air	N
Force	N
Base	N
to	N
Natuna	C
.	N

#19-7	N
The	N
air	N
force	N
first	N
said	N
there	N
were	N
twelve	N
crew	C
members	N
on	N
board	N
,	N
but	N
the	N
total	N
number	N
of	N
reported	N
fatalities	C
continued	C
to	N
change	N
with	N
later	N
reports	N
.	N

#19-8	N
Police	N
found	N
even	N
more	N
dead	N
bodies	N
from	N
the	N
crash	N
on	N
the	N
ground	N
,	N
raising	N
the	N
reported	N
death	N
toll	C
as	N
high	N
as	N
142	N
people	N
.	N

#19-9	N
Some	N
bodies	N
have	N
been	N
identified	C
by	N
blood	N
sampling	C
,	N
an	N
official	N
told	N
newspaper	N
Jakarta	C
Globe	N
.	N

#19-10	N
There	N
were	N
some	N
allegations	C
that	N
passengers	C
on	N
the	N
aircraft	C
were	N
not	N
limited	C
to	N
military	N
families	N
.	N

#19-11	N
The	N
military	N
is	N
not	N
allowed	N
to	N
fly	N
civilian	C
passengers	N
,	N
according	N
to	N
the	N
air	N
force	N
chief	N
,	N
unless	N
they	N
are	N
related	N
to	N
military	N
personnel	C
,	N
or	N
under	N
some	N
special	N
circumstances	C
.	N

#24-33	N
I	N
could	N
even	N
make	N
out	N
the	N
doors	N
on	N
the	N
plane	N
"clearly"""	N
,	N
one	N
resident	C
was	N
quoted	C
as	N
saying	N
to	N
the	N
newspaper	N
Haveeru	N
Daily	N
.	N

#24-34	N
Some	N
claim	N
the	N
plane	N
appeared	C
to	N
be	N
headed	C
in	N
the	N
direction	N
of	N
Diego	N
Garcia	N
.	N

#24-35	N
According	C
to	N
The	N
Huffington	C
Post	N
,	N
Haveeru	N
reported	C
the	N
witnesses	C
were	N
interviewed	C
by	N
authorities	C
who	N
deemed	C
their	N
statements	N
to	N
be	N
truthful	N
,	N
but	N
Maldive	N
military	N
officials	C
along	N
with	N
Malaysian	C
officials	C
say	N
no	N
such	N
aircraft	C
was	N
in	N
Maldive	N
airspace	C
at	N
the	N
time	N
MH370	N
went	N
missing	N
.	N

#24-36	N
""""	N
Based	N
on	N
the	N
monitoring	C
up	N
to	N
date	N
,	N
no	N
indication	C
of	N
Flight	N
MH370	N
has	N
been	N
observed	C
on	N
any	N
military	N
radars	C
in	N
the	N
country	N
[Maldives]	N
.	N

#24-37	N
Furthermore	C
,	N
the	N
data	C
of	N
radars	C
at	N
Maldives	N
airports	N
have	N
also	N
been	N
analysed	C
and	N
shows	N
no	N
indication	C
of	N
the	N
said	N
"flight"""	N
,	N
said	N
Malaysian	N
Transport	N
Minister	N
Hishamuddin	N
Hussein	N
.	N

#30-3	N
She	N
was	N
located	C
and	N
fined	C
within	N
two	N
days	N
of	N
posting	N
the	N
photograph	C
.	N

#30-4	N
The	N
incident	C
has	N
now	N
gained	C
international	C
attention	C
.	N

#30-5	N
The	N
woman	N
,	N
who	N
has	N
not	N
been	N
named	N
,	N
saw	N
the	N
police	N
vehicle	N
parked	C
in	N
a	N
reserved	C
spot	C
in	N
Petrer	C
and	N
snapped	C
a	N
photo	N
.	N

#30-6	N
She	N
posted	N
the	N
photo	N
with	N
the	N
caption:	N
""""	N
Park	N
where	N
you	N
bloody	C
well	N
please	N
and	N
you	N
won't	N
even	N
be	N
fined	C
.	N

#30-7	N
Fernando	N
Portillo	C
,	N
a	N
local	N
police	N
spokesperson	C
,	N
told	N
local	N
media	N
the	N
vehicle	C
was	N
parked	N
there	N
because	N
police	N
were	N
responding	C
to	N
an	N
emergency	C
.	N

#30-8	N
After	N
the	N
story	N
was	N
reported	C
on	N
a	N
local	N
news	N
website	N
,	N
it	N
began	N
to	N
be	N
reported	C
internationally	C
.	N

#30-9	N
On	N
July	N
1	N
,	N
the	N
""""	N
Citizens'	N
Security	N
law	N
""""	N
went	N
into	N
effect	N
.	N

#30-10	N
The	N
law	N
was	N
written	N
in	N
response	C
to	N
violent	C
protests	C
.	N

#30-11	N
Even	N
before	N
its	N
enactment	C
it	N
saw	N
widespread	C
criticism	C
.	N

#10-7	N
It	N
was	N
agreed	N
at	N
a	N
NATO	N
summit	C
in	N
Warsaw	C
last	N
year	N
.	N

#10-8	N
Defence	C
Minister	N
Antoni	N
Macierewicz	C
was	N
also	N
at	N
the	N
ceremony	C
.	N

#10-9	N
""""	N
We	N
have	N
waited	N
for	N
you	N
for	N
a	N
very	N
long	N
time,	N
""""	N
he	N
told	N
the	N
troops	C
.	N

#10-10	N
""""	N
We	N
waited	N
for	N
decades	C
,	N
sometimes	N
feeling	N
we	N
had	N
been	N
left	N
alone	N
,	N
sometimes	N
almost	N
losing	N
hope	N
,	N
sometimes	N
feeling	N
that	N
we	N
were	N
the	N
only	N
one	N
who	N
protected	N
civilization	C
from	N
aggression	C
that	N
came	N
from	N
the	N
east	N
.	N
""""	N

#10-11	N
Hundreds	N
of	N
members	N
of	N
the	N
public	N
attended	C
the	N
ceremony	C
,	N
near	N
the	N
German	N
border;	N
the	N
soldiers	N
crossed	C
in	N
from	N
Germany	N
.	N

#10-12	N
Part	N
of	N
Operation	C
Atlantic	N
Resolve	C
,	N
the	N
deployment	C
is	N
set	N
to	N
include	N
Abrams	N
tanks	N
,	N
Bradley	N
Fighting	N
Vehicles	C
,	N
and	N
Paladin	C
artillery	C
.	N

#10-13	N
It	N
is	N
the	N
largest	N
deployment	C
of	N
US	N
troops	N
to	N
Europe	N
since	N
the	N
Cold	N
War	N
ended	N
.	N

#12-2	N
The	N
unidentified	C
man	N
has	N
been	N
summonsed	C
to	N
appear	C
at	N
Maidstone	N
Magistrates'	N
Court	N
on	N
February	N
17	N
.	N

#12-3	N
As	N
well	N
as	N
dangerous	N
driving	N
and	N
causing	N
serious	N
injury	C
by	N
dangerous	N
driving	N
he	N
also	N
faces	N
three	N
counts	N
of	N
criminal	C
damage	C
covering	N
the	N
bridge	N
and	N
damaged	C
vehicles	N
.	N

#12-4	N
The	N
nonfatal	C
accident	N
left	N
an	N
elderly	C
motorcyclist	C
with	N
broken	N
ribs	C
after	N
he	N
came	N
off	N
his	N
bike	N
avoiding	C
the	N
170	N
tonnes	C
of	N
falling	N
debris	C
.	N

#12-5	N
Two	N
lorries	C
were	N
partially	C
crushed	C
by	N
the	N
collapse	C
,	N
which	N
was	N
triggered	C
when	N
a	N
digger	C
on	N
the	N
back	N
of	N
a	N
lorry	C
struck	C
the	N
concrete	C
bridge	N
.	N

#12-6	N
Kent	N
Police	N
continue	N
to	N
investigate;	N
Highways	N
England	N
have	N
said	N
they	N
will	N
await	C
that	N
probe's	N
results	N
before	N
deciding	C
if	N
they	N
will	N
launch	C
their	N
own	N
.	N

#12-7	N
The	N
August	N
27	N
collapse	C
caused	N
millions	C
of	N
pounds	C
of	N
damage	N
,	N
and	N
closed	N
a	N
major	N
route	C
for	N
more	N
than	N
24	N
hours	N
.	N

#36-13	N
The	N
accident	N
led	C
to	N
discussions	C
regarding	C
the	N
safety	N
of	N
the	N
cars	N
.	N

#36-14	N
A	N
suggestion	C
had	N
been	N
the	N
addition	N
of	N
a	N
canopy	C
over	N
the	N
car's	N
cockpit	C
.	N

#36-15	N
The	N
topic	N
had	N
been	N
controversial:	N
while	N
some	N
supported	N
it	N
for	N
safety	N
reasons	N
,	N
others	N
opposed	C
it	N
because	N
of	N
history	N
,	N
possibly	N
affecting	C
the	N
aerodynamics	C
of	N
the	N
car	N
,	N
limiting	N
one's	N
peripheral	C
vision	C
and	N
movement	N
inside	N
the	N
car	N
,	N
and	N
worry	N
about	N
escaping	C
an	N
upside-down	C
or	N
burning	N
car	N
.	N

#36-16	N
Another	N
had	N
been	N
to	N
tether	C
the	N
nose	N
cone	C
to	N
the	N
car;	N
Hunter-Reay	N
mentioned	N
renderings	C
developed	N
of	N
a	N
boomerang-like	C
debris-deflector	C
positioned	C
in	N
front	N
of	N
the	N
driver	N
.	N

#36-17	N
A	N
further	N
question	N
raised	N
had	N
been	N
regarding	N
Wilson's	N
height:	N
at	N
6	N
feet	N
,	N
3.5	N
inches	N
(1.92	N
m)	N
tall	N
,	N
Wilson	N
was	N
the	N
tallest	C
IndyCar	C
Series	N
driver;	N
however	N
,	N
driver	N
Josef	N
Newgarden	C
refuted	C
the	N
statement	N
,	N
saying	N
,	N
""""	N
They	N
make	N
a	N
regulation	C
for	N
how	N
tall	N
you	N
can	N
be	N
inside	N
the	N
car	N
sitting	N
compared	N
to	N
the	N
roll	C
hoop	C
[...]	N
It's	N
safe	N
for	N
any	N
height	N
for	N
any	N
driver	N
that	N
gets	N
in	N
the	N
car	N
.	N
""""	N

#18-12	N
As	N
a	N
result	N
of	N
his	N
activity	C
,	N
since	N
1997	N
Adnan	N
has	N
been	N
arrested	C
reportedly	C
around	N
ten	N
times	N
,	N
and	N
has	N
gone	N
on	N
several	N
hunger	N
strikes	C
,	N
one	N
of	N
which	N
lasted	C
28	N
days	N
,	N
while	N
another	N
lasted	C
66	N
days	N
and	N
after	N
his	N
release	C
he	N
went	N
on	N
strike	N
for	N
another	N
12	N
days	N
as	N
a	N
token	C
of	N
sympathy	C
for	N
the	N
remaining	C
Palestinian	N
detainees	C
in	N
Israeli	N
prisons	N
.	N

#19-1	N
C-130	N
Hercules	N
crashes	C
in	N
Medan	N
,	N
Indonesia	N
On	N
Tuesday	N
,	N
an	N
Indonesian	C
Air	N
Force	N
C-130	N
Hercules	N
crashed	C
in	N
the	N
city	N
of	N
Medan	N
,	N
Indonesia	N
.	N

#19-2	N
All	N
122	N
people	N
on	N
board	C
were	N
killed	N
as	N
well	N
as	N
people	N
on	N
the	N
ground	N
in	N
the	N
city	N
in	N
North	N
Sumatra	C
,	N
according	C
to	N
North	N
Sumatra	C
police	N
Major	N
A	N
.	N
Tarigan	C
.	N

#19-3	N
Officials	C
said	N
the	N
plane	N
exploded	C
on	N
impact	C
into	N
a	N
big	N
fireball	C
.	N

#19-4	N
The	N
military	C
said	N
the	N
plane	N
took	N
off	N
at	N
12:08	N
pm	N
local	N
time	N
(0508	N
UTC)	N
and	N
crashed	C
five	N
kilometers	C
away	N
a	N
couple	N
of	N
minutes	N
later	N
.	N

#35-19	N
That	N
decision	C
was	N
the	N
one	N
challenged	C
unsuccessfully	C
in	N
the	N
High	N
Court	N
.	N

#35-20	N
The	N
case	N
pits	C
the	N
two	N
accused	C
trying	N
to	N
defend	C
a	N
death	N
penalty	N
case	N
against	N
the	N
possibility	N
of	N
jeopardising	C
international	C
relations;	N
Thai	N
police	N
co-operated	C
,	N
but	N
only	N
in	N
light	C
of	N
an	N
agreement	N
the	N
report	N
would	N
be	N
confidential	C
.	N

#35-21	N
Legal	N
charity	C
Reprieve	C
,	N
who	N
assisted	N
the	N
two	N
men	N
,	N
said	N
in	N
a	N
statement	N
""""	N
Concerns	C
about	N
the	N
conduct	C
of	N
the	N
Thai	N
investigation	C
and	N
the	N
safety	N
of	N
any	N
convictions	C
resulting	N
have	N
been	N
raised	C
from	N
the	N
very	N
beginning[...]	N
only	N
the	N
defence	C
lawyers	N
in	N
Thailand	N
are	N
in	N
a	N
position	N
to	N
judge	C
whether	N
the	N
information	N
could	N
be	N
of	N
assistance	C
.	N
""""	N

#35-22	N
Mr	N
Justice	N
Green's	N
judgement	N
acknowledges	C
he	N
did	N
not	N
know	N
""""	N
how	N
the	N
accused	C
might	N
structure	C
their	N
defences	C
""""	N
or	N
details	N
about	N
what	N
evidence	C
had	N
been	N
or	N
would	N
be	N
involved	C
.	N

#35-12	N
Cameron	N
and	N
Chan-o-cha	C
arranged	C
for	N
an	N
observer	C
team	N
from	N
the	N
Metropolitan	C
Police	N
to	N
conduct	C
an	N
inspection	C
of	N
the	N
Thai	N
probe	C
,	N
based	N
on	N
powers	N
in	N
the	N
Police	N
Act	N
1996	N
.	N

#35-13	N
A	N
team	N
was	N
duly	N
dispatched	C
and	N
prepared	N
a	N
report	N
with	N
the	N
intent	C
to	N
use	N
it	N
for	N
assisting	C
the	N
victims'	N
families	N
.	N

#35-14	N
UK	N
police	N
were	N
expressly	C
forbidden	C
,	N
at	N
a	N
ministerial	C
level	N
,	N
to	N
provide	N
any	N
assistance	N
to	N
Thai	N
authorities	C
as	N
the	N
case	N
involves	C
the	N
death	N
penalty	C
.	N

#35-15	N
Due	N
to	N
established	C
UK	N
policy	N
on	N
foreign	C
death	N
penalty	C
cases	N
,	N
the	N
report	N
was	N
also	N
not	N
shared	N
with	N
Thailand	N
.	N

#35-16	N
It	N
is	N
this	N
report	N
that	N
Lin	N
and	N
Phyo	N
were	N
seeking	C
.	N

#35-17	N
The	N
Royal	N
Courts	N
of	N
Justice	N
complex	C
in	N
London	N
,	N
where	N
the	N
case	N
was	N
heard	N
.	N

#35-18	N
Using	N
the	N
Data	N
Protection	N
Act	N
1998	N
the	N
defendants	C
asked	N
police	N
for	N
this	N
report	N
to	N
assist	C
their	N
defence	C
,	N
and	N
were	N
denied	C
.	N

#20-9	N
This	N
means	N
it	N
must	N
be	N
a	N
very	N
young	N
"surface"""	N
.	N

#20-10	N
He	N
put	N
the	N
age	N
of	N
the	N
current	C
surface	C
at	N
no	N
more	N
than	N
100	N
million	C
years	N
.	N

#20-11	N
The	N
images	N
also	N
did	N
not	N
show	N
craters	C
on	N
its	N
natural	N
satellite	C
,	N
Charon	N
.	N

#20-12	N
NASA	N
said	N
mountains	N
on	N
the	N
planet	N
may	N
be	N
made	N
of	N
water-ice	C
.	N

#20-13	N
In	N
February	N
2007	N
the	N
space	N
probe	C
flew	C
by	N
Jupiter	C
.	N

#20-14	N
The	N
future	N
mission	C
is	N
to	N
explore	C
the	N
Kuiper	N
Belt	N
.	N

#21-1	N
Formula	N
One	N
driver	N
Jules	N
Bianchi	N
dies	N
aged	N
25	N
Bianchi	N
at	N
the	N
Nürburgring's	N
World	N
Series	N
by	N
Renault	C
race	N
in	N
2012	N
.	N

#21-2	N
French	N
Formula	N
One	N
(F1)	N
driver	N
Jules	N
Bianchi	N
died	N
on	N
Friday	N
night	N
at	N
age	N
25	N
,	N
nine	N
months	N
after	N
his	N
serious	C
accident	C
at	N
the	N
2014	N
Japanese	N
Grand	N
Prix	N
.	N

#21-3	N
News	N
of	N
his	N
death	N
was	N
announced	C
by	N
his	N
family	N
the	N
following	C
morning:	N
Cquote1.svg	N
It	N
is	N
with	N
deep	N
sadness	C
that	N
the	N
parents	N
of	N
Jules	N
Bianchi	N
,	N
Philippe	N
and	N
Christine	N
,	N
his	N
brother	N
Tom	N
and	N
sister	N
Mélanie	N
,	N
wish	N
to	N
make	N
it	N
known	N
that	N
Jules	N
passed	C
away	N
last	N
night	N
at	N
the	N
Centre	N
Hospitalier	N
Universitaire	N
(CHU)	N
in	N
Nice	N
,	N
(France)	N
where	N
he	N
was	N
admitted	C
following	C
the	N
accident	N
of	N
5th	N
October	N
2014	N
at	N
Suzuka	N
Circuit	N
during	N
the	N
Japanese	N
Formula	N
1	N
Grand	N
Prix	N
.	N

#35-4	N
The	N
court	N
has	N
expedited	C
the	N
case	N
.	N

#35-5	N
Burmese	C
nationals	N
Zaw	N
Lin	N
and	N
Wai	N
Phyo	N
,	N
both	N
22	N
,	N
are	N
currently	N
on	N
trial	N
accused	C
of	N
murdering	C
David	N
Miller	N
,	N
24	N
,	N
from	N
Jersey	N
,	N
and	N
Hannah	N
Witheridge	C
,	N
23	N
,	N
from	N
England	N
.	N

#35-6	N
With	N
the	N
defence	C
case	N
due	N
to	N
begin	N
shortly	N
and	N
continue	N
until	N
mid-	N
or	N
late	N
September	N
the	N
court	N
has	N
issued	C
its	N
judgement	C
today	N
following	C
a	N
hearing	C
on	N
Friday	N
.	N

#35-7	N
The	N
case	N
dates	N
to	N
September	N
last	N
year	N
when	N
the	N
victims	C
were	N
found	N
murdered	C
on	N
a	N
Koh	C
Tao	C
beach	N
.	N

#35-8	N
Witheridge	C
had	N
been	N
raped	C
.	N

#35-9	N
The	N
case	N
attracted	C
worldwide	C
attention	N
with	N
Lin	N
and	N
Phyo	N
confessing	C
,	N
before	N
re-enacting	C
the	N
killing	N
in	N
front	N
of	N
the	N
press	N
.	N

#35-10	N
The	N
accused	C
claim	N
the	N
confessions	C
were	N
tortured	C
out	N
of	N
them	N
and	N
the	N
ongoing	C
trial	C
is	N
unfair	N
.	N

#35-11	N
UK	N
Prime	N
Minister	N
David	N
Cameron	N
intervened	C
,	N
speaking	N
to	N
Thai	N
Prime	N
Minister	N
Prayut	C
Chan-o-cha	C
.	N

#42-97	N
So	N
basically	C
it	N
seems	N
like	N
they	N
collect	N
it	N
in	N
order	N
to	N
keep	N
diseases	C
out	N
of	N
the	N
nest	N
,	N
so	N
they	N
stop	N
the	N
disease	C
before	N
it	N
can	N
actually	C
infect	C
them	N
.	N

#42-98	N
Wikinews:	N
Are	N
there	N
plans	N
to	N
follow	N
this	N
research	C
up?	N

#42-99	N
Might	N
you	N
research	C
other	N
species?	N

#42-102	N
There	N
might	N
be	N
many	N
sources	C
of	N
medicine	C
(recent	N
evidence	C
suggests	N
that	N
tobacco	C
plays	N
a	N
similar	N
role	N
for	N
bumble	C
bees)	N
.	N

#42-103	N
Dalial	N
Freitak	N
,	N
who	N
is	N
also	N
on	N
this	N
paper	N
is	N
currently	N
running	N
tests	N
with	N
Ph.D	C
.	N
student	N
Siiri	N
Fuchs	N
(who	N
is	N
also	N
on	N
the	N
paper)	N
with	N
other	N
substances	C
to	N
see	N
if	N
any	N
have	N
the	N
same	N
effect	N
as	N
H2O2	N
[hydrogen	N
peroxide]	N
.	N

#42-104	N
Once	N
the	N
behaviour	C
has	N
been	N
well	N
described	C
in	N
this	N
species	C
of	N
ant	N
,	N
I	N
might	N
do	N
a	N
comparison	C
with	N
other	N
species	C
.	N

#13-3	N
""""	N
We're	N
working	N
with	N
legislative	C
leaders	N
at	N
this	N
very	N
moment	N
to	N
begin	N
to	N
craft	C
legislation	C
that	N
will	N
repeal	C
the	N
most	N
corrosive	C
elements	C
of	N
Obamacare	C
—	N
the	N
individual	C
mandate	C
,	N
the	N
taxes	N
,	N
the	N
penalties	C
—	N
but	N
at	N
the	N
same	N
time	N
,	N
moving	N
separate	N
legislation	C
that	N
will	N
allow	N
us	N
to	N
introduce	N
the	N
kind	N
of	N
reforms	C
in	N
American	N
health	N
care	N
that'll	N
lower	N
the	N
cost	N
of	N
health	N
insurance	C
without	N
growing	N
the	N
size	N
of	N
government,	N
""""	N
said	N
Vice	N
President-elect	N
Mike	N
Pence	N
.	N

#13-4	N
Democratic	N
Senator	C
Maria	N
Cantwell	C
of	N
Washington	N
had	N
a	N
different	N
view	N
,	N
going	N
so	N
far	N
as	N
to	N
call	N
this	N
""""	N
stealing	C
health	N
care	N
from	N
Americans	N
.	N
""""	N

#13-5	N
The	N
filibuster	C
is	N
a	N
last-ditch	C
tactic	C
in	N
which	N
parties	N
opposed	C
to	N
a	N
certain	N
motion	C
refuse	C
to	N
relinquish	C
the	N
floor	N
until	N
their	N
opponents	C
give	N
in	N
or	N
compromise	C
.	N

#42-8	N
Infected	C
ants	N
chose	N
food	N
laced	C
with	N
toxic	C
hydrogen	C
peroxide	C
,	N
whereas	C
healthy	N
ants	N
avoided	N
it	N
.	N

#42-9	N
Hydrogen	N
peroxide	C
reduced	N
infected	C
ant	N
fatalities	C
by	N
15%	N
,	N
and	N
the	N
ants	N
varied	C
their	N
intake	C
depending	C
upon	N
how	N
high	N
the	N
peroxide	C
concentration	C
was	N
.	N

#42-10	N
In	N
the	N
wild	N
,	N
Formica	C
fusca	C
can	N
encounter	C
similar	N
chemicals	C
in	N
aphids	C
and	N
dead	N
ants	N
.	N

#42-11	N
The	N
Independent	C
reported	N
self-medicating	C
ants	N
a	N
first	N
among	N
insects	N
.	N

#42-12	N
Bos	C
obtained	C
his	N
doctorate	C
from	N
the	N
University	N
of	N
Copenhagen	C
.	N

#42-13	N
He	N
began	N
postdoctoral	C
research	C
at	N
Helsinki	C
in	N
2012	N
.	N

#42-14	N
He	N
also	N
runs	N
the	N
AntyScience	C
blog	C
.	N

#42-15	N
The	N
blog	C
aims	N
to	N
help	N
address	N
""""	N
a	N
gap	N
between	N
scientists	C
and	N
'the	N
general	N
public'	N
.	N
""""	N

#42-16	N
The	N
name	N
is	N
a	N
pun	C
referencing	C
ants	N
,	N
its	N
primary	N
topic	N
,	N
science	N
,	N
and	N
"""non-scientific"	N
""""	N
jargon-free	C
communication	C
.	N

#42-17	N
He	N
now	N
discusses	C
his	N
work	N
with	N
Wikinews	C
.	N

#42-18	N
Wikinews:	N
What	N
first	N
attracted	C
you	N
to	N
researching	C
ants?	N

#19-12	N
The	N
chief	C
is	N
looking	N
into	N
these	N
allegations	C
to	N
see	N
if	N
there	N
were	N
paying	N
passengers	C
.	N

#19-13	N
An	N
AirAsia	N
jet	N
crashed	C
in	N
the	N
Java	N
Sea	N
last	N
December	N
,	N
killing	N
everyone	N
aboard	C
.	N

#19-14	N
The	N
cause	N
of	N
this	N
C-130	N
crash	N
has	N
yet	N
to	N
be	N
determined	C
.	N

#2-1	N
Nigerian	N
jet	N
attacks	N
refugee	C
camp	N
,	N
killing	N
dozens	N
A	N
Nigerian	N
Air	N
Force	N
jet	N
fighter	N
mistook	C
refugees	C
for	N
rebels	C
yesterday	N
,	N
Nigerian	N
military	N
said	N
,	N
firing	C
on	N
a	N
camp	N
in	N
Rann	N
,	N
Borno	N
State	N
.	N

#2-2	N
Dozens	C
of	N
refugees	C
and	N
aid	N
workers	N
died	N
.	N

#2-3	N
The	N
lowest	N
estimate	C
from	N
Médecins	N
Sans	N
Frontières	N
